"","x","2"
"V209","item209","Think about your job being structured for you, rather than allowing you to determine tasks, priorities, and goals...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V210","item210","Think about the pace of work being determined by the speed of equipment or machinery... (This does not refer to keeping busy at all times on this job.)
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V211","item211","Think about the requirement to meet strict deadlines...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V212","item212","Think about how regular the work schedules are for your job...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V213","item213","Think about when your job requires working in cramped work spaces or getting into awkward positions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V214","item214","Think about when your job requires working in a closed vehicle or equipment (e.g., car)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V215","item215","Think about when your job requires working in an open vehicle or equipment (e.g., tractor)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V216","item216","Think about how often your job requires working indoors in environmentally controlled conditions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V217","item217","Think about when your job requires working indoors in non-controlled environmental conditions (e.g., warehouse without heat)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V218","item218","Think about when your job requires working outdoors, exposed to all weather conditions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V219","item219","Think about when your job requires working outdoors, under cover (e.g., structure with roof but no walls)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V220","item220","Think about performing job tasks in close physical proximity to other people...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V221","item221","Think about working exposed to sounds and noise levels that are distracting or uncomfortable...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V222","item222","Think about bending or twisting your body...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V223","item223","Thinking about keeping or regaining your balance...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V224","item224","Thinking about kneeling, crouching, stooping or crawling...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V225","item225","Think about making repetitive motions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V226","item226","Thinking about sitting...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V227","item227","Think about standing...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V228","item228","Think about using your hands to handle, control, or feel objects, tools or controls...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V229","item229","Think about walking and running...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V230","item230","Think about working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V231","item231","Think about wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V232","item232","Think about wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V233","item233","Think about being in contact with others to perform your job...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V234","item234","Think about how important it is to coordinate or lead others in accomplishing work activities in your job...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V235","item235","Think about working with external customers or the public...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V236","item236","Think about dealing with unpleasant, angry, or discourteous individuals...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V237","item237","Thinking about using email...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V238","item238","Think about having face-to-face discussions with individuals or teams...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V239","item239","Think about conflict situations you have to face...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V240","item240","Think about communicating using written letters and memos...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V241","item241","Think about public speaking...
 ...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V242","item242","Think about your responsibility for work outcomes and results of other workers...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V243","item243","Think about your responsibility for the health and safety of others...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V244","item244","Think about when you have phone conversations...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V245","item245","Think about when working with others in a group or team...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V246","item246","Think about estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V247","item247","Think about observing, receiving, and otherwise obtaining information from all relevant sources...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V248","item248","Think about how much attention you are paying to this survey...
...as part of our quality assurance we need to measure how much attention you are paying while answering these questions. Please select 'Somewhat disagree' for this question."
"V249","item249","Think about identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V250","item250","Think about inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V251","item251","Think about monitoring and reviewing information from materials, events, or the environment, to detect or assess problems...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V252","item252","Think about identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V253","item253","Think about establishing long-range objectives and specifying the strategies and actions to achieve them...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V254","item254","Think about using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V255","item255","Think about assessing the value, importance, or quality of things or people...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V256","item256","Think about analyzing information and evaluating results to choose the best solution and solve problems...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V257","item257","Think about developing specific goals and plans to prioritize, organize, and accomplish your work...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V258","item258","Think about compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V259","item259","Think about scheduling events, programs, and activities, as well as the work of others...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V260","item260","Think about developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V261","item261","Think about keeping up-to-date technically and applying new knowledge...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V262","item262","Think about using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V263","item263","Think about entering, transcribing, recording, storing, or maintaining information...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V264","item264","Think about providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V265","item265","Think about using your hands and arms in handling, installing, positioning, and moving materials, and manipulating things...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V266","item266","Think about the use of computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V267","item267","Think about the running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V268","item268","Think about the performing of physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V269","item269","Think about the servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V270","item270","Think about the servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V271","item271","Think about providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V272","item272","Think about identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V273","item273","Think about communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V274","item274","Think about providing information to supervisors, co-workers, and subordinates by telephone, in written form, email, or in person...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V275","item275","Think about getting members of a group to work together to accomplish tasks...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V276","item276","Think about your encouraging and building mutual trust, respect, and cooperation among team members...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V277","item277","Think about developing constructive and cooperative working relationships with others, and maintaining them over time...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V278","item278","Think about providing guidance and direction to subordinates, including setting performance standards and monitoring performance...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V279","item279","Think about translating or explaining what information means and how it can be used...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V280","item280","Think about monitoring and controlling resources and overseeing the spending of money...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V281","item281","Think about performing day-to-day administrative tasks such as maintaining information files and processing paperwork...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V282","item282","Think about performing for people or dealing directly with the public (This includes serving customers in restaurants and stores, and receiving clients or guests)...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V283","item283","Think about providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V284","item284","Think about handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V285","item285","Think about convincing others to buy merchandise/goods or to otherwise change their minds or actions...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V286","item286","Think about recruiting, interviewing, selecting, hiring, and promoting employees...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V287","item287","Think about identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others...
...this aspect of your job is a hinderance that can inhibit personal growth, learning, and work goal attainment."
"V288","item288","Think about how much decision making freedom, without supervision, your job offers...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V289","item289","Think about how often you are required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V290","item290","Think about the results your decisions usually have on other people or the image or reputation or financial resources of your employer...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V291","item291","Think about being highly accurate in performing your job...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V292","item292","Think about repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V293","item293","Think about competing or being aware of competitive pressures...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V294","item294","Think about your job being structured for you, rather than allowing you to determine tasks, priorities, and goals...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V295","item295","Think about the pace of work being determined by the speed of equipment or machinery... (This does not refer to keeping busy at all times on this job.)
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V296","item296","Think about the requirement to meet strict deadlines...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V297","item297","Think about how regular the work schedules are for your job...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V298","item298","Think about when your job requires working in cramped work spaces or getting into awkward positions...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V299","item299","Think about when your job requires working in a closed vehicle or equipment (e.g., car)...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V300","item300","Think about when your job requires working in an open vehicle or equipment (e.g., tractor)...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V301","item301","Think about how often your job requires working indoors in environmentally controlled conditions...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V302","item302","Think about when your job requires working indoors in non-controlled environmental conditions (e.g., warehouse without heat)...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V303","item303","Think about when your job requires working outdoors, exposed to all weather conditions...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V304","item304","Think about when your job requires working outdoors, under cover (e.g., structure with roof but no walls)...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V305","item305","Think about performing job tasks in close physical proximity to other people...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V306","item306","Think about working exposed to sounds and noise levels that are distracting or uncomfortable...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V307","item307","Think about bending or twisting your body...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V308","item308","Think about how much attention you are paying to this survey... 
...as part of our quality assurance we need to measure how much attention you are paying while answering these questions. Please select 'Neither agree nor disagree' for this question."
"V309","item309","Thinking about keeping or regaining your balance...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V310","item310","Thinking about kneeling, crouching, stooping or crawling...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V311","item311","Think about making repetitive motions...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V312","item312","Thinking about sitting...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V313","item313","Think about standing...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V314","item314","Think about using your hands to handle, control, or feel objects, tools or controls...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V315","item315","Think about walking and running...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V316","item316","Think about working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V317","item317","Think about wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V318","item318","Think about wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V319","item319","Think about being in contact with others to perform your job...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V320","item320","Think about how important it is to coordinate or lead others in accomplishing work activities in your job...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V321","item321","Think about working with external customers or the public...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V322","item322","Think about dealing with unpleasant, angry, or discourteous individuals...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V323","item323","Thinking about using email...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V324","item324","Think about having face-to-face discussions with individuals or teams...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V325","item325","Think about conflict situations you have to face...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V326","item326","Think about communicating using written letters and memos...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V327","item327","Think about public speaking...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V328","item328","Think about your responsibility for work outcomes and results of other workers...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V329","item329","Think about your responsibility for the health and safety of others...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V330","item330","Think about when you have phone conversations...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V331","item331","Think about when working with others in a group or team...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V332","item332","Think about estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V333","item333","Think about observing, receiving, and otherwise obtaining information from all relevant sources...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V334","item334","Think about identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V335","item335","Think about inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V336","item336","Think about monitoring and reviewing information from materials, events, or the environment, to detect or assess problems...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V337","item337","Think about identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V338","item338","Think about establishing long-range objectives and specifying the strategies and actions to achieve them...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V339","item339","Think about using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V340","item340","Think about assessing the value, importance, or quality of things or people...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V341","item341","Think about analyzing information and evaluating results to choose the best solution and solve problems...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V342","item342","Think about developing specific goals and plans to prioritize, organize, and accomplish your work...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V343","item343","Think about compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V344","item344","Think about scheduling events, programs, and activities, as well as the work of others...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V345","item345","Think about developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V346","item346","Think about keeping up-to-date technically and applying new knowledge...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V347","item347","Think about using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles)...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V348","item348","Think about entering, transcribing, recording, storing, or maintaining information...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V349","item349","Think about providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V350","item350","Think about using your hands and arms in handling, installing, positioning, and moving materials, and manipulating things...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V351","item351","Think about the use of computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V352","item352","Think about the running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V353","item353","Think about the performing of physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V354","item354","Think about the servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V355","item355","Think about the servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V356","item356","Think about providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V357","item357","Think about identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V358","item358","Think about communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V359","item359","Think about providing information to supervisors, co-workers, and subordinates by telephone, in written form, email, or in person...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V360","item360","Think about getting members of a group to work together to accomplish tasks...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V361","item361","Think about your encouraging and building mutual trust, respect, and cooperation among team members...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V362","item362","Think about developing constructive and cooperative working relationships with others, and maintaining them over time...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V363","item363","Think about providing guidance and direction to subordinates, including setting performance standards and monitoring performance...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V364","item364","Think about translating or explaining what information means and how it can be used...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V365","item365","Think about monitoring and controlling resources and overseeing the spending of money...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V366","item366","Think about performing day-to-day administrative tasks such as maintaining information files and processing paperwork...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V367","item367","Think about performing for people or dealing directly with the public (This includes serving customers in restaurants and stores, and receiving clients or guests)...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V368","item368","Think about providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V369","item369","Think about handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V370","item370","Think about convincing others to buy merchandise/goods or to otherwise change their minds or actions...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V371","item371","Think about recruiting, interviewing, selecting, hiring, and promoting employees...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V372","item372","Think about identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others...
...this aspect of your job is a challenge that can promote mastery, personal growth, or future gains."
"V373","item373","How often have you felt worn out because of your job?"
"V374","item374","How often have you been physically exhausted  because of your job?"
"V375","item375","How often have you been emotionally exhausted because of your job?"
"V376","item376","How often have you felt tired because of your job?"
"V377","item377","How often have you had problems relaxing because of your job?"
"V378","item378","How often have you been irritable because of your job?"
"V379","item379","How often have you been tense because of your job?"
"V380","item380","I am able to concentrate on my work without distractions."
"V381","item381","I have a difficult time detaching mentally from my work"
"V382","item382","Time passes quickly while I'm working."
"V383","item383","I enjoy thinking about work even when I'm not at work."
"V384","item384","I love starting my workday."
"V385","item385","I have to be reminded to take breaks while I'm at work."
"V386","item386","I never miss a work deadline."
"V387","item387","Thinking about work saps my energy."
"V388","item388","I am able to maintain good levels of energy throughout the workday."
"V389","item389","I enjoy spending time completing my job tasks."
"V390","item390","I feel motivated to go beyond what is asked of me at work."
"V391","item391","When work is slow I find ways to be productive."
"V392","item392","I express enthusiasm for my job while at work."
"V393","item393","I plan my future with this company."
"V394","item394","I believe this company cares about my career goals."
"V395","item395","This organization challenges me to work at my full potential."
"V396","item396","I feel proud of my accomplishments within this organization."
"V397","item397","My job makes me feel like I'm part of something meaningful."
"V398","item398","I embrace challenging situations at work"
"V399","item399","I speak positively about this organization to others."
"V400","item400","Please indicate the title of the job you were referring to when answering our questions."
"V401","item401","How long have you held this position?"
"V402","item402","What is your gender?"
"V403","item403","What is your age in years?"
"V404","item404","What is your ZIP code?"
